priority,image_path,candidate_class,ocr_text,ocr_confidence,provisional_bbox,normalized_yolo,reason,review_status,source_repo,sha256
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/39.png,MRP,India Food Processors' Association,0.9423,"[[218.0, 454.0], [424.0, 454.0], [424.0, 468.0], [218.0, 468.0]]","[0.5023474178403756, 0.9604166666666667, 0.3223787167449139, 0.029166666666666667]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,7b6d342b1d7378482ca17d6dceb6fbdc9a45e4b9fdb1b314711eaea1749ff82c
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/52.PNG,MRP,Sugars 6g,0.9093,"[[113.0, 356.0], [145.0, 356.0], [145.0, 366.0], [113.0, 366.0]]","[0.2529411764705882, 0.6077441077441077, 0.06274509803921569, 0.016835016835016835]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,05eaa7755edf0efac992dd612153dcf7f2d6e85e84176d5e5b8dcdfb4e073f8f
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/52.PNG,MRP,cause it to spoil. Grate with a coarse,0.9579,"[[244.0, 375.0], [417.0, 375.0], [417.0, 389.0], [244.0, 389.0]]","[0.6480392156862745, 0.6430976430976431, 0.3392156862745098, 0.02356902356902357]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,05eaa7755edf0efac992dd612153dcf7f2d6e85e84176d5e5b8dcdfb4e073f8f
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/52.PNG,NET_QUANTITY,NET WT 2.2 LBS (1 KG),0.8823,"[[99.0, 485.0], [196.0, 485.0], [196.0, 494.0], [99.0, 494.0]]","[0.28921568627450983, 0.8240740740740741, 0.19019607843137254, 0.015151515151515152]",Matched NET_QUANTITY regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,05eaa7755edf0efac992dd612153dcf7f2d6e85e84176d5e5b8dcdfb4e073f8f
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/53.PNG,NET_QUANTITY,Net Weight:200g/7.05oz,0.973,"[[157.0, 81.0], [277.0, 81.0], [277.0, 94.0], [157.0, 94.0]]","[0.4965675057208238, 0.14805414551607446, 0.2745995423340961, 0.021996615905245348]",Matched NET_QUANTITY regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,4be3528285bef7be8b571166ba01f28f7707936171dca83cc90ef0504bb3509f
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/53.PNG,MRP,producers.we intend to take a,0.8968,"[[67.0, 234.0], [169.0, 234.0], [169.0, 244.0], [67.0, 244.0]]","[0.2700228832951945, 0.40439932318104904, 0.2334096109839817, 0.01692047377326565]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,4be3528285bef7be8b571166ba01f28f7707936171dca83cc90ef0504bb3509f
2,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/53.PNG,AMBIGUOUS,Manufactured &Marketed by:,0.9282,"[[228.0, 397.0], [343.0, 397.0], [343.0, 404.0], [228.0, 404.0]]","[0.6533180778032036, 0.6776649746192893, 0.2631578947368421, 0.011844331641285956]",Overlapping regex classifications,PENDING,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,4be3528285bef7be8b571166ba01f28f7707936171dca83cc90ef0504bb3509f
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/54.PNG,MRP,Mars or Affiliates,0.908,"[[269.0, 332.0], [359.0, 332.0], [359.0, 345.0], [269.0, 345.0]]","[0.7336448598130841, 0.5059790732436472, 0.2102803738317757, 0.01943198804185351]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,b580a7317bbb2e007d3459c0edb95eddf5c36c7beda7a706f43fe07389c00ff6
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/54.PNG,MRP,STARBURSTisused,0.9443,"[[268.0, 346.0], [359.0, 346.0], [359.0, 360.0], [268.0, 360.0]]","[0.7324766355140186, 0.5276532137518685, 0.21261682242990654, 0.02092675635276532]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,b580a7317bbb2e007d3459c0edb95eddf5c36c7beda7a706f43fe07389c00ff6
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/54.PNG,MRP,"sugars,added sugars,vitamin D,calcium",0.9232,"[[27.0, 567.0], [240.0, 567.0], [240.0, 580.0], [27.0, 580.0]]","[0.3119158878504673, 0.8572496263079222, 0.4976635514018692, 0.01943198804185351]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,b580a7317bbb2e007d3459c0edb95eddf5c36c7beda7a706f43fe07389c00ff6
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/55.PNG,MRP,FLAVORS OR,0.9667,"[[375.0, 136.0], [463.0, 134.0], [463.0, 150.0], [376.0, 153.0]]","[0.684640522875817, 0.2887323943661972, 0.1437908496732026, 0.03822937625754527]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,c884337bc7d929912fe8d62ecad5805c3ac97c3bb3c4af1d0509270092d208d3
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/55.PNG,MRP,STARCH.TAPIOCA FLOUR.NATURAL FLAVORS,0.9311,"[[231.0, 236.0], [483.0, 236.0], [483.0, 249.0], [231.0, 249.0]]","[0.5833333333333334, 0.4879275653923541, 0.4117647058823529, 0.026156941649899398]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,c884337bc7d929912fe8d62ecad5805c3ac97c3bb3c4af1d0509270092d208d3
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/56.PNG,MRP,Total Sugars 0g,0.9479,"[[288.0, 296.0], [373.0, 296.0], [373.0, 309.0], [288.0, 309.0]]","[0.6676767676767676, 0.5750950570342205, 0.1717171717171717, 0.024714828897338403]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,fde917f355678543cc0174a3d3732fa2ab0019d8fed75faa0e4cff393d9809b5
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/56.PNG,MRP,Incl. Og Added Sugars,0.9625,"[[294.0, 313.0], [409.0, 313.0], [409.0, 328.0], [294.0, 328.0]]","[0.7101010101010101, 0.6093155893536122, 0.23232323232323232, 0.028517110266159697]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,fde917f355678543cc0174a3d3732fa2ab0019d8fed75faa0e4cff393d9809b5
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/57.PNG,MRP,Tetal Sugars 1g,0.9392,"[[82.0, 295.0], [146.0, 298.0], [145.0, 312.0], [81.0, 309.0]]","[0.21496212121212122, 0.5278260869565218, 0.12310606060606061, 0.029565217391304348]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,50c2a56553ee242d0f2f61e9ef1aaf9f7892140eb3d007aa13e98204b60711c9
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/58.PNG,MRP,TotalSugars 4g,0.8898,"[[32.0, 266.0], [87.0, 266.0], [87.0, 277.0], [32.0, 277.0]]","[0.16951566951566951, 0.5065298507462687, 0.15669515669515668, 0.020522388059701493]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,babe668cd69ddea357695ab035e4efdb9d8efc93d8d805af5b0f02a6829597f0
2,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/58.PNG,MRP,Incudes <1g Added Sugars,0.7713,"[[42.0, 278.0], [127.0, 278.0], [127.0, 291.0], [42.0, 291.0]]","[0.24074074074074073, 0.5307835820895522, 0.24216524216524216, 0.024253731343283583]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,babe668cd69ddea357695ab035e4efdb9d8efc93d8d805af5b0f02a6829597f0
2,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/58.PNG,MRP,POWCERSNAOWEROL CASHEWNUTSSPCES SUA,0.7057,"[[15.0, 382.0], [148.0, 382.0], [148.0, 392.0], [15.0, 392.0]]","[0.23219373219373218, 0.7220149253731343, 0.3789173789173789, 0.018656716417910446]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,babe668cd69ddea357695ab035e4efdb9d8efc93d8d805af5b0f02a6829597f0
2,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/58.PNG,MRP,ARLC.GERSA.CORSAXAASO,0.6461,"[[16.0, 390.0], [150.0, 390.0], [150.0, 400.0], [16.0, 400.0]]","[0.23646723646723647, 0.7369402985074627, 0.3817663817663818, 0.018656716417910446]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,babe668cd69ddea357695ab035e4efdb9d8efc93d8d805af5b0f02a6829597f0
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/60.PNG,MRP,Total Sugars,0.9671,"[[37.0, 291.0], [90.0, 294.0], [89.0, 308.0], [36.0, 306.0]]","[0.13938053097345132, 0.6468682505399568, 0.11946902654867257, 0.0367170626349892]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,df1735e3187ebe6d9901994ee436f2e58eccf459112dda61afffe757de7db38b
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/60.PNG,MRP,Includes Added Sugars,0.9984,"[[43.0, 307.0], [138.0, 307.0], [138.0, 320.0], [43.0, 320.0]]","[0.2002212389380531, 0.6771058315334774, 0.21017699115044247, 0.028077753779697623]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,df1735e3187ebe6d9901994ee436f2e58eccf459112dda61afffe757de7db38b
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/61.PNG,MRP,Seasoning Mix and % cup waterstir,0.9355,"[[219.0, 151.0], [362.0, 151.0], [362.0, 164.0], [219.0, 164.0]]","[0.7335858585858586, 0.3294979079497908, 0.3611111111111111, 0.027196652719665274]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,b9ad8fa80a76f4a29c04f942b8d204acbd86ecd8522a8eb2ac30e21d26c68b02
2,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/61.PNG,MRP,"sagars, acded sagars, ei 0",0.6646,"[[28.0, 256.0], [117.0, 256.0], [117.0, 266.0], [28.0, 266.0]]","[0.1830808080808081, 0.5460251046025104, 0.22474747474747475, 0.02092050209205021]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,b9ad8fa80a76f4a29c04f942b8d204acbd86ecd8522a8eb2ac30e21d26c68b02
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/61.PNG,MRP,", GHILT PEPPERS",0.8379,"[[50.0, 293.0], [104.0, 293.0], [104.0, 300.0], [50.0, 300.0]]","[0.19444444444444445, 0.6202928870292888, 0.13636363636363635, 0.014644351464435146]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,b9ad8fa80a76f4a29c04f942b8d204acbd86ecd8522a8eb2ac30e21d26c68b02
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/62.PNG,MRP,TotalSugars Og,0.8361,"[[229.0, 287.0], [288.0, 287.0], [288.0, 298.0], [229.0, 298.0]]","[0.6714285714285714, 0.5592734225621415, 0.15324675324675324, 0.021032504780114723]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,35b012d60c20df93cfefe969a9cda6b45bc64ea33eecf9121834812ce408d993
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/62.PNG,MRP,Incl Og Add Sugars,0.8688,"[[232.0, 300.0], [315.0, 300.0], [315.0, 314.0], [232.0, 314.0]]","[0.7103896103896103, 0.5869980879541109, 0.21558441558441557, 0.02676864244741874]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,35b012d60c20df93cfefe969a9cda6b45bc64ea33eecf9121834812ce408d993
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/62.PNG,MRP,PROCUCL NCLLDEUPC BAR CODELMBERSAND CODE,0.8323,"[[28.0, 399.0], [189.0, 399.0], [189.0, 413.0], [28.0, 413.0]]","[0.2818181818181818, 0.7762906309751434, 0.41818181818181815, 0.02676864244741874]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,35b012d60c20df93cfefe969a9cda6b45bc64ea33eecf9121834812ce408d993
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/63.PNG,MRP,packet Mrs.Dash Chili Seasoning Mix,0.9561,"[[285.0, 192.0], [498.0, 192.0], [498.0, 205.0], [285.0, 205.0]]","[0.6892605633802817, 0.28978102189781024, 0.375, 0.01897810218978102]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,dc302d4d2b4c45c493c57c2f458a5b1d7298293bffeca4b31e76f67807a65776
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/63.PNG,MRP,"esterol. total sugars, added sugars",0.9099,"[[57.0, 464.0], [248.0, 467.0], [247.0, 481.0], [57.0, 478.0]]","[0.26848591549295775, 0.6897810218978102, 0.3362676056338028, 0.024817518248175182]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,dc302d4d2b4c45c493c57c2f458a5b1d7298293bffeca4b31e76f67807a65776
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/63.PNG,MRP,"and recipes, visit www.mrsdash.com",0.984,"[[305.0, 510.0], [474.0, 501.0], [475.0, 519.0], [306.0, 527.0]]","[0.6866197183098591, 0.7503649635036497, 0.2992957746478873, 0.03795620437956204]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,dc302d4d2b4c45c493c57c2f458a5b1d7298293bffeca4b31e76f67807a65776
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/63.PNG,MRP,Or visit www.mrsdash.com,0.9899,"[[52.0, 631.0], [182.0, 629.0], [183.0, 642.0], [52.0, 644.0]]","[0.2068661971830986, 0.9291970802919708, 0.2306338028169014, 0.021897810218978103]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,dc302d4d2b4c45c493c57c2f458a5b1d7298293bffeca4b31e76f67807a65776
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/64.PNG,MRP,Total Sugars 7g,0.8523,"[[62.0, 248.0], [117.0, 257.0], [114.0, 272.0], [60.0, 264.0]]","[0.23289473684210527, 0.5327868852459017, 0.15, 0.04918032786885246]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,a27996171fda86f12570bd0484a11f2e06c00d0275f6ed25e1b7fbd9773d7af0
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/64.PNG,MRP,Incudes Og Added Sugars,0.9027,"[[70.0, 265.0], [168.0, 278.0], [166.0, 292.0], [68.0, 279.0]]","[0.3105263157894737, 0.5706967213114754, 0.2631578947368421, 0.055327868852459015]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,a27996171fda86f12570bd0484a11f2e06c00d0275f6ed25e1b7fbd9773d7af0
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/65.PNG,MRP,Total Sugars Og,0.9442,"[[38.0, 292.0], [127.0, 294.0], [127.0, 308.0], [37.0, 305.0]]","[0.3178294573643411, 0.47095761381475665, 0.3488372093023256, 0.02511773940345369]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,119d3a1871fb4eb5f62e440328b81e3c3b6da7834239f5a00b7177e69a915e33
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/65.PNG,MRP,Includes Og Added Sugars ,0.9537,"[[44.0, 307.0], [204.0, 310.0], [203.0, 327.0], [44.0, 324.0]]","[0.4806201550387597, 0.4976452119309262, 0.6201550387596899, 0.03139717425431711]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,119d3a1871fb4eb5f62e440328b81e3c3b6da7834239f5a00b7177e69a915e33
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/66.PNG,MRP,1 packet Mrs.Dash Fajita Seasoning Mix,0.9732,"[[259.0, 156.0], [475.0, 157.0], [475.0, 174.0], [259.0, 173.0]]","[0.6898496240601504, 0.25306748466257667, 0.40601503759398494, 0.027607361963190184]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,bddd3488f86e9b7ea1d853410f7cc222b12a6da450440e352b39aee12bb2c1d0
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/66.PNG,MRP,"fa.cholesterol,total sugars,added",0.9296,"[[35.0, 437.0], [235.0, 433.0], [236.0, 450.0], [35.0, 454.0]]","[0.25469924812030076, 0.6802147239263804, 0.37781954887218044, 0.032208588957055216]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,bddd3488f86e9b7ea1d853410f7cc222b12a6da450440e352b39aee12bb2c1d0
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/66.PNG,MRP,"sgars,vitamin D, and calcium.",0.8854,"[[31.0, 453.0], [212.0, 448.0], [212.0, 465.0], [32.0, 471.0]]","[0.22838345864661655, 0.7047546012269938, 0.34022556390977443, 0.0352760736196319]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,bddd3488f86e9b7ea1d853410f7cc222b12a6da450440e352b39aee12bb2c1d0
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/66.PNG,MRP,"and recipes, visit www.mrsdash.com",0.9749,"[[300.0, 479.0], [481.0, 479.0], [481.0, 492.0], [300.0, 492.0]]","[0.7340225563909775, 0.7446319018404908, 0.34022556390977443, 0.019938650306748466]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,bddd3488f86e9b7ea1d853410f7cc222b12a6da450440e352b39aee12bb2c1d0
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/66.PNG,MRP,PARSIPPANY.NJ 07054USA,0.8961,"[[24.0, 573.0], [168.0, 569.0], [168.0, 584.0], [25.0, 587.0]]","[0.18045112781954886, 0.8865030674846626, 0.2706766917293233, 0.027607361963190184]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,bddd3488f86e9b7ea1d853410f7cc222b12a6da450440e352b39aee12bb2c1d0
2,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/67.PNG,MRP,Srin geen ors  ,0.6738,"[[294.0, 251.0], [395.0, 251.0], [395.0, 265.0], [294.0, 265.0]]","[0.7638580931263859, 0.42504118616144976, 0.22394678492239467, 0.023064250411861616]",Matched MRP regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,3d2c8afccbe55815ed66369eef6e88fa46903ee907641976fa6fd1546ce2befe
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/67.PNG,MRP,Sugars 4g,0.9816,"[[302.0, 386.0], [352.0, 389.0], [351.0, 407.0], [301.0, 404.0]]","[0.7239467849223947, 0.6532125205930808, 0.1130820399113082, 0.03459637561779242]",Matched MRP regex pattern,REJECTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,3d2c8afccbe55815ed66369eef6e88fa46903ee907641976fa6fd1546ce2befe
1,external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/68.PNG,NET_QUANTITY,NET WT0.4 oz.11g),0.8943,"[[183.0, 437.0], [354.0, 439.0], [354.0, 460.0], [183.0, 458.0]]","[0.48641304347826086, 0.7827225130890052, 0.30978260869565216, 0.04013961605584642]",Matched NET_QUANTITY regex pattern,ACCEPTED,joyeetadey/Object-Detection-and-Text-Recognition-of-Packaged-Foods,c9637a91701b1c82e0cb1bc1e46953e287a631aa38d7c28b01ec760925b992c9
