image_path,sha256,source,ocr_status,ocr_text,ocr_confidence,matched_terms,candidate_classes,ocr_bbox_count,candidate_reason,needs_annotation,annotation_status
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/1.png,69c3227c9b1e76945c550b8e1ad804590a1f695c835be65bb4069523c4beae5c,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/10.png,212f9011e7fbd97dd9bfae0c14069fdff73210eba1eefbb5d404902f0b7a5edb,external_data,SUCCESS,Persere (40g),,Persere (40g),MRP,18,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/11.png,707bca3edff38a5fde31a9dd8b3fbdda11c3939e331850413d21c8ac350befd3,external_data,SUCCESS,"OR EMAIL USAT | ing unt address,see first two charac rs  | of which Sugars | Irars Fat | 'MRP",,"OR EMAIL USAT | ing unt address,see first two charac rs  | of which Sugars | Irars Fat | 'MRP","MRP,CONSUMER_CARE",62,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/12.png,5a8df92e7ae481254d846d091b3f82400c6eed383dd48ab030c120e7cbccd432,external_data,SUCCESS,,,,,2,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/13.png,8d4eb2556fc0c5a462650a48fdc8570380872ddda708c4c965edefd5e0075109,external_data,SUCCESS,"of which Sugars | Condiments (Onion Powder Parsley Powder, | Known to cool tempers, | For manufacturing unit address, see first two characters of | Near Golf Course Extension Road, | partnership with farmers, | MRP Rs.65/-INCL.OFALL TAXES | OR EMAIL US AT",,"of which Sugars | Condiments (Onion Powder Parsley Powder, | Known to cool tempers, | For manufacturing unit address, see first two characters of | Near Golf Course Extension Road, | partnership with farmers, | MRP Rs.65/-INCL.OFALL TAXES | OR EMAIL US AT","MRP,CONSUMER_CARE",92,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/14.png,831a675014085afa0191bb483d1ca9ed7da7df331c35b6811680d15d32657d77,external_data,SUCCESS,Net Wt.250gm,,Net Wt.250gm,NET_QUANTITY,6,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/15.png,cd9318f1fc506790a1859976d73aba9ca2e6b975a828b4fc7d01010454d8da2e,external_data,SUCCESS,,,,,3,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/16.png,a6c934e4d9d331f27928af6d19f63bffd246ab7b3cfc338905b9f25b76cdfb33,external_data,SUCCESS,mdCrSers MgPEP NA | MRP:Rs. | FORSOG | Net Quantity,,mdCrSers MgPEP NA | MRP:Rs. | FORSOG | Net Quantity,"NET_QUANTITY,MRP",67,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/17.png,1b243a71b046c8fba48403d9d4ad22b81256c0f12b187366a8857913a7772c8f,external_data,SUCCESS,Every product has a story.ip to know ours.,,Every product has a story.ip to know ours.,MRP,8,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/18.png,6ad4eacaa182df2d9b67f50082e9246caff2c6f2809aa5c24d4be236320437de,external_data,SUCCESS,NET WEIGHT200g,,NET WEIGHT200g,NET_QUANTITY,19,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/19.png,7d3a70ea93a4ec2b44833abaddc4439263881fdc3a01d464ff208183be53397b,external_data,SUCCESS,NET WT.500g.,,NET WT.500g.,NET_QUANTITY,6,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/2.png,9ea5f2149a951e61f94c890a4ca2dfc55179a9af32c0f6bf019f61e4cbb58571,external_data,SUCCESS,NESTLE CONSUMER CARE | -Total Sugars(g) | perserve | MRPincl.of all axes) | andAcdt qulaors5010500 | MasalaASMAKERxp22.5%Rsticewdr6.4%oder1.9%mc | powderRstn0.4%grekowdRastgarmmasla or 0.3%ion Bay | INSECTSPESTS&STRONG ODOURS. | NET WEIGHT:,,NESTLE CONSUMER CARE | -Total Sugars(g) | perserve | MRPincl.of all axes) | andAcdt qulaors5010500 | MasalaASMAKERxp22.5%Rsticewdr6.4%oder1.9%mc | powderRstn0.4%grekowdRastgarmmasla or 0.3%ion Bay | INSECTSPESTS&STRONG ODOURS. | NET WEIGHT:,"NET_QUANTITY,MRP,CONSUMER_CARE",99,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/20.png,0333bf3aae0e423d259414a9f75b00d360608c043706734adabdd2edfff08287,external_data,SUCCESS,,,,,2,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/21.png,e1af57611eccd76bd697ab97431e155db2569d60beb5df7ab6aa7a8d579b82bc,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/22.png,a07a80838b2182000cfce448cda991fee90fce47b8256e0fd4146cf73da340f4,external_data,SUCCESS,,,,,11,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/23.png,62ec348f5324be696937d1194bef50f72c1be925220b8177c665282a195a6685,external_data,SUCCESS,,,,,1,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/24.png,6e8403facc1d5871f38d939ab105cdddcbf8092b8736793b1457b6e97e84a660,external_data,SUCCESS,diversified balanced diet. Consume along with fruits &m | Totol Sugars (g) | SugarSucroseg) | NESTLE CONSUMER CARE | M.R.P.INCL.OFALLTAXES) | NET WEIGHT:,,diversified balanced diet. Consume along with fruits &m | Totol Sugars (g) | SugarSucroseg) | NESTLE CONSUMER CARE | M.R.P.INCL.OFALLTAXES) | NET WEIGHT:,"NET_QUANTITY,MRP,CONSUMER_CARE",119,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/25.png,d2f2647a78562678d1d3982d4f703555b8ad532ff8e4872d54a31fcccd2b8421,external_data,SUCCESS,,,,,5,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/26.png,d74e8ea84b0fbe8c364910cdb282c8b9cf6b837ad32c2fd3d99ecb312995eb7d,external_data,SUCCESS,Mars,,Mars,MRP,4,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/27.png,803d4b9d04d00d0ff56071046400319ae4979d7e0ebb8c98b999cc4663b5b066,external_data,SUCCESS,,,,,6,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/28.png,7ecf9deeef0bf69b2e1b26165fbe18f967fae4b82882fcf58f5ee257d4cba3d5,external_data,SUCCESS,25 years of Exce | PowderGarlic PowderRed ChilliPowderGinger PowderSugar | Chicken Fingers | Net Weight:300g | MRP | Care Officer on telephone nos.+91-20-24250853 to55 | or email at consumercare@venkys.com or write to the addresses | Manufactured by:Venky's (India) Limited (Foods Division,,25 years of Exce | PowderGarlic PowderRed ChilliPowderGinger PowderSugar | Chicken Fingers | Net Weight:300g | MRP | Care Officer on telephone nos.+91-20-24250853 to55 | or email at consumercare@venkys.com or write to the addresses | Manufactured by:Venky's (India) Limited (Foods Division,"NET_QUANTITY,MRP,CONSUMER_CARE,MANUFACTURER",62,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/29.png,af863f4f15c2ad111550c173eb15309dfab975e72ea8d215e887255ea7c3a8c2,external_data,SUCCESS,,,,,5,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/3.png,8d712d04810d83ad25379f75436d7279e9073041e4b73b33337a7397b262b31e,external_data,SUCCESS,,,,,5,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/30.png,fbda62b712117dcad54c06a19b361b3202929355957011bec20c249f7e4d663a,external_data,SUCCESS,,,,,8,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/31.png,fcc67f188b046bac0ae3498be51a7012d09180708f0eb464a982d43f6a254d70,external_data,SUCCESS,,,,,3,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/32.png,630266a029f0c24eb724ced8cbbcde0e79b5bc88c7d28836f0773e916f8bf829,external_data,SUCCESS,NET QUANTITY:500g | MANUFACTURED &PACKED BY | MANUFACTURED FOR&MARKETED BY | Customer CareInnovative Foods LimitedEpunna,,NET QUANTITY:500g | MANUFACTURED &PACKED BY | MANUFACTURED FOR&MARKETED BY | Customer CareInnovative Foods LimitedEpunna,"PACKER,NET_QUANTITY,MANUFACTURER,CONSUMER_CARE",55,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/33.png,d17862706fccd78b5c8b77989f6b8e27e7a694be43a04dd58134f91c5d52edf1,external_data,SUCCESS,,,,,4,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/34.png,ff585b52b1e5953e09839cd891f048e88592f07aab034591b7546b3300431b69,external_data,SUCCESS,,,,,4,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/35.png,6593abb974c6d25a218805021ffc96190bd29b8020ab5a59ecbc508f22cc3478,external_data,SUCCESS,,,,,5,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/36.png,3c4e5d544cf33f9cabde9e7e896fe87dfaeff7b7ea8df5ee4013b3856a7b532d,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/37.png,831f0a8b9e24379ce26a91c8dfe74a6452a5e8191fe965a633b9411d021dfeb1,external_data,SUCCESS,,,,,5,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/38.png,548490a3b5606f17f9380c9ae5fb2a976a2225c01597955aca48a2331f3f1ef4,external_data,SUCCESS,,,,,11,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/39.png,7b6d342b1d7378482ca17d6dceb6fbdc9a45e4b9fdb1b314711eaea1749ff82c,external_data,SUCCESS,India Food Processors' Association,,India Food Processors' Association,MRP,22,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/4.png,4b97f76df36f1edcec1ad7e95f29f6a2786c731e4dcb90576e67f3185cd36aee,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/40.png,b4fb43cab5e62fa3e3bbd2765f4f019c09d09d2d3ab23e589624322911cf5f25,external_data,SUCCESS,,,,,3,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/41.png,a953059bb6e80ce64312831399067f1c55cb64b26f024f7dd0054c61f5895030,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/42.png,0e01df55818a444c5778c5e008123471fdd37d4aa35071bc2e6d4611dfeb6ddb,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/43.png,a6ba18cea2aa3a74e562e358ad5530156e7b09705b3505d5172bd1d817a10ee2,external_data,SUCCESS,,,,,3,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/44.png,9f6c9f5cb90a3ce97c39c4dbb97a906c78b859a1126cff67240c60c0ebc64c86,external_data,SUCCESS,,,,,2,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/45.png,6820f73c579d59e39729f267c66a46c0a0f877ce29ce4aef5ff99269aaf61778,external_data,SUCCESS,,,,,10,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/46.png,892e7d8242f53726a0b41f54dd3f65d6e8c46deb0ee44dde4209b6dbe2f5974f,external_data,SUCCESS,Net Weight250g,,Net Weight250g,NET_QUANTITY,5,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/47.png,4a6f02b9a0a00771479281f804177d6dbe6688c6f67921758bb09d173235c0a1,external_data,SUCCESS,500g,,500g,NET_QUANTITY,9,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/48.png,1732ba5e465a26aacb419f56bed20ff4eb0293c91860b78609c981dc22ba80d7,external_data,SUCCESS,,,,,14,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/49.png,18c6bada566671447b915f058d7f97be49167ac1c805e1e64057b00be187af8b,external_data,SUCCESS,Net Wt.250g(8.81oz,,Net Wt.250g(8.81oz,NET_QUANTITY,22,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/5.png,da431e887390cca6b80df37496853a3c8613beac958f77509c719f8f093eb4d5,external_data,SUCCESS,,,,,1,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/50.png,a95dbc9062c4953fec41e972339aab31a910e1356e94890b37f914fcf9245dc9,external_data,SUCCESS,s18 Gsgretscesogrsde,,s18 Gsgretscesogrsde,MRP,12,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/51.png,2fc77071a9ac2415b5109a40218605663d72a09ef3f4e2a0a32fd175cc383991,external_data,SUCCESS,MRP230.00 inclusive of al tam | Manufactured By | Imported by,,MRP230.00 inclusive of al tam | Manufactured By | Imported by,"IMPORTER,MRP,MANUFACTURER",44,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/6.png,5d0b398449824a0f1303af489ab1e23891c2dac544805a1612194ec3c424ed7b,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/7.png,75422ff83ea876ffc62d1e383fe719bdccaf8892a91320f86ce43a47d085af28,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/8.png,48c963633f5d36ad1177fd37e8c8c44aa39812f88ba7600e94fef0fe3555fd39,external_data,SUCCESS,MRP20.00 (INCL.OFALL TAXES),,MRP20.00 (INCL.OFALL TAXES),MRP,19,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/train/9.png,46cc7bdeabdaa4b42b68a2b19b068f0cbd1f7851ae8e832d7b178e4be396d46e,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/1.png,a58a544051f3b79a6860bc46f89ae077a7901920237f8d06940eee1a0b44d2e0,external_data,SUCCESS,,,,,9,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/10.png,174a2c84aff53007a27ed3ad4fa0c8699ae2b2d49d8771d5ae503793c5c8fb26,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/11.png,9b33f9b3f11503ae1e7c3529f4e9185a4a8073fbd8441867c89d50e966984000,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/12.png,ac35c94a4a0ec6a32a59c8b08d07173e78188773075c8276191243bfa4f9e672,external_data,SUCCESS,,,,,1,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/13.png,1f96b7a8c57ef0e3130fb8ae6889abcc07fc1382387fbc08b98fbfe861007371,external_data,SUCCESS,,,,,6,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/14.png,ddb306aaa4232fa71e965d1b9dab1fe5765b484393b0d3ba8093d6a014a9884a,external_data,SUCCESS,,,,,1,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/15.png,da60c2f21df1b9d4d9c4d16d66b2d79d62457b644b318271eed153325e1ebd79,external_data,SUCCESS,,,,,2,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/16.png,6c2a94f6728a9e748f490906a0e1d61c0b68bb991e3a86665e08234d4694b462,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/17.png,856760429963c8af43ba224c81769c3550b325176d64be2d2cf667fe297fb24c,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/18.png,28c3b05ef6d062132902d6fea0cdc4723d147e92bddc1a059ba3aeababb96748,external_data,SUCCESS,,,,,7,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/19.png,7ba3ffa0e538ad2d6b4f77119d43a4185765d8663a4c822c3121e80cae131f0b,external_data,SUCCESS,SNICKERS | Net wt.,,SNICKERS | Net wt.,"NET_QUANTITY,MRP",7,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/2.png,f7bb12a7e24bf276a8ca41e554119cfbd6ae8069546fb008fbe3fd54ba526fa7,external_data,SUCCESS,,,,,3,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/20.png,e74ba369d82d3b730b648fad7bbb03b24765e7197322fbbeff0846d7c655e86c,external_data,SUCCESS,PRAWN CRACKERS,,PRAWN CRACKERS,MRP,2,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/21.png,7a4ad4d46b3dfa78cb57fb98de3825b155cb0cb3759c3427143d3e80bab061b8,external_data,SUCCESS,Aproduct first of it's kind,,Aproduct first of it's kind,MRP,4,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/22.png,de639d4a76385d4445df1177d404e53e9e06bb327552852d2edbb3df20f368e6,external_data,SUCCESS,,,,,5,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/23.png,ffd1070ce8b6042f1eb6c3a06ba444514d16d7ec50e10a1e8966a4e7f201df69,external_data,SUCCESS,PRAWN CRACKERS | Net Wt.40 g,,PRAWN CRACKERS | Net Wt.40 g,"NET_QUANTITY,MRP",5,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/24.png,9857abe6274b109d9cc805289f3fb1b4c562251bb5e12aa65ccd0dd6c77fd293,external_data,SUCCESS,#FoodLabelsForSafety Jssa,,#FoodLabelsForSafety Jssa,MRP,7,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/3.png,704ab4c28504c3fd31bb2cfde58b6072bf7041ddee69aab8eba6ad0f683ea65a,external_data,SUCCESS,"Net weight: | Rs.18/- | Packed On: | Emukifier and stabilizers (415.420,445) | Manufactured By:",,"Net weight: | Rs.18/- | Packed On: | Emukifier and stabilizers (415.420,445) | Manufactured By:","PACKER,NET_QUANTITY,MRP,MANUFACTURER",51,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/4.png,c6b808a0e7526c475ed772e0b173e8d66ab4fe23fb9f41aa3bc014ad19dcf111,external_data,SUCCESS,Net Weight: | MRP<,,Net Weight: | MRP<,"NET_QUANTITY,MRP",11,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/5.png,943404d66cef4419658be36f5e7b9966ca5dd2f7151eae961c227038eb55c789,external_data,SUCCESS,fatsCocoa solids 4.4%Emulsifier Soya lecithinRaising  | NESTLE CONSUMER CARE,,fatsCocoa solids 4.4%Emulsifier Soya lecithinRaising  | NESTLE CONSUMER CARE,"MRP,CONSUMER_CARE",42,Regex hit,TRUE,PENDING
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/6.png,d91c1d3efb2d93bdfc5ccf96812688b0f6f0f083f12220c7cb350ca2e5e0663d,external_data,SUCCESS,,,,,4,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/7.png,fc89ab0f5c5d6cc16b36221066548313bbf8e907de927d4162714309e97a5f64,external_data,SUCCESS,,,,,0,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/8.png,0e66ab64b6988c04b2f7b8d2c946c61530d2cfec3b771ed247feea5539d7e61c,external_data,SUCCESS,,,,,1,,FALSE,NONE
external_data/Object-Detection-and-Text-Recognition-of-Packaged-Foods-main/sample dataset/images/val/9.png,d4a2f6414c35bdfb684625ef18abc383ff7f19cd969b41b89400a37397c2db2e,external_data,SUCCESS,,,,,0,,FALSE,NONE
